id,first_name,last_name,year_born
1001, James        , Stewart         ,1908
1002, Grace        , Kelly           ,1929
1003, Raymond      , Burr            ,1917
1004, John Michael , Hayes           ,1919
982, Delia        , Ephron          ,1943
983, Lisa         , Kudrow          ,1963
961, Taylor       , Hackford        ,1945
962, Tony         , Gilroy (I)      ,1962
963, David        , Morse           ,1953
941, John         , Lasseter        ,1957
942, Tim          , Allen           ,1953
943, Annie        , Potts           ,1952
921, Terry        , Gilliam         ,1940
922, Chris        , Marker          ,1921
923, Joseph       , Melito          ,1932
902, Audrey       , Wells           ,1961
903, Spencer      , Breslin         ,1992
904, Emily        , Mortimer        ,1971
881, Michael      , Bay             ,1965
882, Robert       , Roy Pool        ,1957
883, Billy        , Bob Thornton    ,1955
884, Liv          , Tyler           ,1977
862, Spencer      , Clark           ,1987
841, M. Night     , Shyamalan       ,1970
842, Haley        , Joel Osment     ,1988
843, Toni         , Collette        ,1972
821, Luc          , Besson          ,1959
822, Bruce        , Willis          ,1955
823, Gary         , Oldman          ,1958
824, Milla        , Jovovich        ,1975
801, Richard      , Donner          ,1930
802, Jonathan     , Lemkin          ,1948
803, Danny        , Glover          ,1946
781, Daniel       , Myrick          ,1964
782, Heather      , Donahue         ,1974
783, Joshua       , Leonard         ,1975
784, Michael      , C. Williams     ,1973
761, Marie        , Brenner         ,1963
762, Diane        , Venora          ,1952
741, Jon          , Amiel           ,1948
742, Ronald       , Bass            ,1943
743, Sean         , Connery         ,1930
744, Ving         , Rhames          ,1961
721, Elmore       , Leonard         ,1925
722, George       , Clooney         ,1961
723, Jim          , Robinson (I)    ,1947
724, Jennifer     , Lopez           ,1970
701, Chuck        , Palahniuk       ,1955
703, Meat         , Loaf            ,1951
681, Tony         , Kaye (I)        ,1968
682, David        , McKenna         ,1968
683, Edward       , Norton          ,1969
684, Edward       , Furlong         ,1977
685, Beverly      , DAngelo         ,1969
661, Michael      , Mann            ,1943
662, Al           , Pacino          ,1940
663, Robert       , De Niro         ,1943
641, Michael      , Apted           ,1941
642, Neal         , Purvis          ,1950
643, Pierce       , Brosnan         ,1953
644, Sophie       , Marceau         ,1966
645, Denise       , Richards        ,1972
621, David        , H. Franzoni     ,1967
622, Russell      , Crowe           ,1964
623, Joaquin      , Phoenix         ,1974
624, Connie       , Nielsen         ,1965
601, Jean-Pierre  , Jeunet          ,1955
602, Joss         , Whedon          ,1964
604, Dominique    , Pinon           ,1955
582, Vincent      , Ward            ,1956
583, Charles      , Dutton          ,1951
584, Charles      , Dance           ,1946
561, Carrie       , Henn            ,1976
562, Don          , Sharpe          ,1968
563, Suzanne      , M. Benson       ,1959
564, Brian        , Johnson (I)     ,1970
541, Ridley       , Scott           ,1937
542, Dan          , OBannon         ,1946
543, Tom          , Skerritt        ,1933
544, Sigourney    , Weaver          ,1949
545, Derrick      , Leather         ,1960
546, Michael      , Seymour (I)     ,1958
547, Nick         , Allder          ,1963
521, John         , McNaughton      ,1950
522, Stephen      , Peters          ,1947
524, Matt         , Dillon          ,1964
501, Roger        , Kumble          ,1966
502, Choderlos    , de Laclos       ,1741
503, Reese        , Witherspoon     ,1976
504, Selma        , Blair           ,1972
481, Jim          , Gillespie (I)   ,1968
482, Lois         , Duncan          ,1972
483, Jennifer     , Love Hewitt     ,1979
484, Ryan         , Phillippe       ,1974
485, Sarah        , Michelle Gellar ,1977
461, Robert       , Bloch           ,1917
462, Anthony      , Perkins         ,1932
463, Vera         , Miles           ,1929
464, Janet        , Leigh           ,1927
465, John         , Gavin           ,1928
466, Paul         , Jasmin          ,1921
441, Steven       , Soderbergh      ,1963
442, Stephen      , Gaghan          ,1956
443, Michael      , Douglas         ,1944
444, Benicio      , Del Toro        ,1967
445, Catherine    , Zeta-Jones      ,1969
446, Stephen      , Bauer           ,1956
447, Luis         , Guzman          ,1967
448, Amy          , Irving          ,1953
449, Erika        , Christensen     ,1982
450, Don          , Cheadle         ,1964
451, Jacob        , Vargas          ,1963
452, Clifton      , Collins         ,1971
421, Liev         , Schreiber       ,1967
422, Beth         , Toussaint       ,1962
423, Roger        , Jackson         ,1965
424, Kelly        , Rutherford      ,1968
401, Wes          , Craven          ,1939
402, Kevin        , Williamson      ,1965
403, David        , Arquette        ,1971
404, Neve         , Campbell        ,1973
405, Courteney    , Cox             ,1964
381, Mary         , Harron (I)      ,1966
382, Bret         , Easton Ellis    ,1964
383, Christian    , Bale            ,1974
384, Willem       , Dafoe           ,1955
385, Jared        , Leto            ,1971
361, Mark         , Lamprell        ,1950
362, Nicholas     , Bishop          ,1974
363, Rose         , Byrne           ,1953
364, Sinead       , Cusack          ,1948
341, Baz          , Luhrmann        ,1942
342, Craig        , Pearce          ,1948
343, Paul         , Mercurio        ,1963
344, Tara         , Morice          ,1967
345, Pat          , Thompson (II)   ,1940
346, Barry        , Otto            ,1965
347, Jill         , Bilcock         ,1967
348, Catherine    , Martin (I)      ,1950
349, Angus        , Strathie        ,1954
321, George       , Miller (II)     ,1945
322, James        , McCausland      ,1943
323, Mel          , Gibson          ,1956
324, Joanne       , Samuel          ,1951
325, Brian        , May (I)         ,1934
1, James        , Cameron         ,1954
2, Leonardo     , DiCaprio        ,1974
4, Billy        , Zane            ,1966
5, Kathy        , Bates           ,1948
6, Michael      , Ford (I)        ,1966
7, Russell      , Carpenter       ,1971
8, Deborah      , Lynn Scott      ,1968
9, Thomas       , L.Fisher        ,1956
10, Tom          , Bellfort        ,1964
11, Conrad       , Buff IV         ,1956
12, James        , Horner          ,1953
13, Will         , Jennings (II)   ,1961
21, John         , Madden          ,1949
22, Marc         , Norman          ,1952
23, Geoffrey     , Rush            ,1951
25, Steve        , ODonnell        ,1956
26, Judi         , Dench           ,1934
27, Sandy        , Powell          ,1940
41, Lasse        , Hallstrom       ,1946
42, John         , Irving          ,1942
43, Kate         , Nelligan        ,1950
44, Tobey        , Maguire         ,1975
45, Charlize     , Theron          ,1975
46, Delroy       , Lindo           ,1952
47, Michael      , Caine           ,1958
62, John         , Briley          ,1925
63, Ben          , Kingsley        ,1943
64, Candice      , Bergen          ,1946
65, Roshan       , Seth            ,1942
66, Edward       , Fox             ,1937
81, Sam          , Mendes          ,1965
82, Alan         , Ball            ,1957
83, Kevin        , Spacey          ,1959
84, Annette      , Bening          ,1958
85, Thora        , Birch           ,1982
86, Wes          , Bentley         ,1978
101, Paul         , Schrader        ,1946
102, Russell      , Banks           ,1940
103, Nick         , Nolte           ,1941
104, Brigid       , Tierney         ,1948
105, Holmes       , Osborne         ,1950
106, Jim          , True            ,1945
107, James        , Coburn          ,1928
121, Roberto      , Benigini        ,1952
122, Vincenzo     , Cerami          ,1940
123, Nicoletta    , Braschi         ,1960
141, Kimberly     , Peirce          ,1967
142, Andy         , Bienen          ,1965
143, Hilary       , Swank           ,1974
144, Chloe        , Sevigny         ,1974
145, Peter        , Sarsgaard       ,1972
146, Brendan      , Sexton III      ,1980
162, Robert       , Rodat           ,1953
164, Tom          , Sizemore        ,1964
165, Edwards      , Burns           ,1968
166, Barry        , Pepper          ,1970
181, Alfred       , Hitchcock       ,1932
182, Daphne       , Du Maurier      ,1940
183, Evan         , Hunter          ,1937
184, Rod          , Taylor          ,1935
185, Jessica      , Tandy           ,1941
186, Suzanne      , Pleshette       ,1938
187, Tippi        , Hedren          ,1931
201, Andy         , Wachowski       ,1965
202, Larry        , Wachowski       ,1968
203, Keanu        , Reeves          ,1972
204, Laurence     , Fishburne       ,1970
205, John         , Gaeta           ,1962
206, Janek        , Sirrs           ,1957
207, Steve        , Courtley        ,1961
208, Jon          , Thum            ,1956
209, Dane         , A.davis         ,1966
222, Nora         , Ephron          ,1941
223, Parker       , Posey           ,1968
241, Harry        , Sinclair (II)   ,1965
242, Danielle     , Cormack         ,1959
243, Karl         , Urban           ,1972
244, Willa        , ONeill          ,1970
261, Leon         , Narbey          ,1958
262, Stephen      , Grives          ,1971
263, Jennifer     , Ward-Lealand    ,1966
264, Michael      , Hurst (I)       ,1957
281, Joel         , Tobeck          ,1971
282, Ian          , Hughes (I)      ,1968
301, Jane         , Campion         ,1954
302, Holly        , Hunter          ,1958
304, Anna         , Paquin          ,1982
306, Janet        , Patterson       ,1967
307, Andrew       , McAlpine        ,1962
1005, Woody        , Allen           ,1935
1006, John         , Cusack          ,1966
1007, Jack         , Warden          ,1920
1008, Tony         , Sirico          ,1942
1009, Robert       , Greenhut        ,1943
1010, Carlo        , DiPalma         ,1925
1011, Susan E.     , Morse           ,1930
1012, Juliet       , Taylor          ,1967
1013, Jeffrey      , Kurland         ,1958
1014, George P.    , Cosmatos        ,1941
1015, Kevin        , Jarre           ,1938
1016, Kurt         , Russell         ,1951
1017, Val          , Kilmer          ,1959
1018, Sam          , Elliott         ,1944
1019, Sean         , Daniel          ,1951
1020, William A.   , Fraker          ,1923
1021, Harvey       , Rosenstock      ,1935
1022, Lora         , Kennedy         ,1940
1023, Joseph A.    , Porro           ,1943
1024, Joe          , Mantegna        ,1947
1025, Mia          , Farrow          ,1945
1026, William      , Hurt            ,1950
1027, Richard      , Benjamin        ,1938
1028, Patty        , Dann            ,1942
1029, Cherilyn     , LaPierre        ,1946
1030, Bob          , Hoskins         ,1942
1031, Winona       , Ryder           ,1971
1032, Lauren       , Lloyd           ,1941
1033, Howard       , Atherton        ,1938
1034, Jacqueline   , Cambas          ,1952
1035, Margery      , Simkin          ,1947
1036, Marit        , Allen           ,1954
1037, Atom         , Egoyan          ,1960
1038, David        , Hemblen         ,1958
1039, Don          , Mckellar        ,1963
1040, Mia          , Kirshner        ,1976
1041, Paul         , Sarossy         ,1963
1042, Susan        , Shipton         ,1959
1043, Linda        , Muir            ,1960
1044, John         , Dahl            ,1956
1045, Nicolas      , Cage            ,1964
1046, Craig        , Reay            ,1967
1047, Steve        , Golin           ,1958
1048, Marc         , Reshovsky       ,1965
1049, Scott        , Chestnut        ,1959
1050, Terry        , Dresbach        ,1964
1051, Richard      , Attenborough    ,1923
1052, Charles      , Chaplin         ,1889
1053, Robert       , Downey Jr.      ,1965
1054, Geraldine    , Chaplin         ,1944
1055, Paul         , Rhys            ,1963
1056, Sven         , Nykvist         ,1922
1057, Anne V.      , Coates          ,1925
1058, Mike         , Fenton          ,1947
1059, Ellen        , Mirojnick       ,1949
1060, Peter        , Weir            ,1944
1061, Rafael       , Yglesias        ,1954
1062, Jeff         , Bridges         ,1949
1063, Isabella     , Rossellini      ,1952
1064, Rosie        , Perez           ,1964
1065, Mark         , Rosenberg       ,1948
1066, Allen        , Daviau          ,1953
1067, Bill         , Anderson        ,1962
1068, Howard       , Feuer           ,1965
1069, Marilyn      , Matthews        ,1955
1070, Andrew       , Fleming         ,1946
1071, Lara         , Boyle           ,1970
1072, Stephen      , Baldwin         ,1966
1073, Josh         , Charles         ,1971
1074, Brad         , Krevoy          ,1967
1075, Alexander    , Gruszynski      ,1954
1076, Bill         , Carruth         ,1949
1077, Ed           , Mitchell        ,1955
1078, Deborah      , Everton         ,1962
1079, Spike        , Lee             ,1957
1080, Wesley       , Snipes          ,1962
1081, Annabella    , Sciorra         ,1964
1082, Ernest R.    , Dickerson       ,1952
1083, Samuel D.    , Pollard         ,1963
1084, Robi         , Reed            ,1954
1085, Ruth E.      , Carter          ,1968
1086, Mike         , Figgis          ,1948
1087, Henry        , Bean            ,1943
1088, Richard      , Gere            ,1949
1089, Andy         , Carcia          ,1956
1090, Nancy        , Travis          ,1961
1091, Frank        , Mancuso         ,1958
1092, John         , Alonzo          ,1934
1093, Robert       , Estrin          ,1942
1094, Carrie       , Frazier         ,1947
1095, Rudy         , Dillon          ,1950
1096, Barbet       , Schroeder       ,1941
1097, John         , Lutz            ,1948
1098, Bridget      , Fonda           ,1964
1099, Jennifer     , Leigh           ,1962
1100, Steven       , Weber           ,1961
1101, Luciano      , Tovoli          ,1965
1102, Lee          , Percy           ,1971
1103, Milena       , Canonero        ,1965
1104, Hal          , Hartley         ,1959
1105, Adrienne     , Shelly          ,1966
1106, Martin       , Donovan         ,1957
1107, Michael      , Spiller         ,1961
1108, Nick         , Gomez           ,1963
1109, Claudia      , Brown           ,1962
1110, Yimou        , Zhang           ,1951
1111, Heng         , Liu             ,1964
1112, Li           , Gong            ,1965
1113, Baotian      , Li              ,1950
1114, Hu           , Jian            ,1962
1115, Changwei     , Gu              ,1965
1116, Yuan         , Du              ,1955
1117, Zhi-an       , Zhang           ,1963
1118, Su           , Tong            ,1957
1119, Jingwu       , Ma              ,1947
1120, Caifei       , He              ,1965
1121, Fu-Sheng     , Chiu            ,1956
1122, Zhao         , Fei             ,1952
1123, Yuan         , Du              ,1967
1124, Jean-Paul    , Rappeneau       ,1932
1125, Gerard       , Depardieu       ,1948
1126, Anne         , Brochet         ,1966
1127, Rene         , Cleitman        ,1940
1128, Pierre       , Lhomme          ,1930
1129, Noelle       , Boisson         ,1942
1130, Franca       , Squarciapion    ,1943
1131, Diane        , Keaton          ,1946
1132, Robert       , Rodriguez       ,1968
1133, Carlos       , Gallardo        ,1966
1134, Consuelo     , Gomez           ,1958
1135, Lee          , Tamahori        ,1950
1136, Riwia        , Brown           ,1953
1137, Rena         , Owen            ,1960
1138, Temuera      , Morrison        ,1961
1139, Robin        , Scholes         ,1965
1140, Stuart       , Dryburgh        ,1952
1141, D.Michael    , Horton          ,1958
1142, Don          , Selwyn          ,1960
1143, Antonia      , Bird            ,1963
1144, Jimmy        , McGovern        ,1949
1145, Linus        , Roache          ,1964
1146, Tom          , Wilkinson       ,1959
1147, George       , Faber           ,1961
1148, Fred         , Tammes          ,1963
1149, Susan        , Spivey          ,1957
1150, Janet        , Goddard         ,1965
1151, Allan        , Moyle           ,1947
1152, Christian    , Slater          ,1969
1153, Samantha     , Mathis          ,1970
1154, Sandy        , Stern           ,1968
1155, Walt         , Lloyd           ,1972
1156, Larry        , Bock            ,1962
1157, Judith       , Holstra         ,1964
1158, Jeremiah S.  , Chechik         ,1962
1159, Barry        , Berman          ,1957
1160, Johnny       , Depp            ,1963
1161, Mary         , Masterson       ,1966
1162, John         , Schwartzman     ,1965
1163, Carol        , Littleton       ,1957
1164, Risa         , Garcia          ,1956
1165, Fred         , Schepisi        ,1939
1166, John         , Guare           ,1938
1167, Stockard     , Channing        ,1944
1168, Will         , Smith           ,1968
1169, Donald       , Sutherland      ,1935
1170, Ian          , Baker           ,1947
1171, Peter        , Honess          ,1951
1172, Ellen        , Chenoweth       ,1962
1173, Kaige        , Chen            ,1952
1174, Lillian      , Lee             ,1954
1175, Leslie       , Cheung          ,1956
1176, Fengyi       , Zhang           ,1965
1177, Feng         , Hsu             ,1948
1178, Xiaonan      , Pei             ,1966
1179, Wolfgang     , Petersen        ,1941
1180, Jeff         , Maguire         ,1948
1181, Clint        , Eastwood        ,1930
1182, John         , Malkovich       ,1953
1183, Rene         , Russo           ,1954
1184, John         , Bailey          ,1942
1185, Janet        , Hirshenson      ,1950
1186, Peter        , Jackson         ,1961
1187, Melanie      , Lynskey         ,1977
1188, Kate         , Winslet         ,1975
1189, Alun         , Bollinger       ,1963
1190, Jamie        , Selkirk         ,1966
1191, Steve        , James           ,1957
1192, William      , Gates           ,1968
1193, Arthur       , Agee            ,1956
1194, Peter        , Gilbert         ,1963
1195, David        , Fincher         ,1962
1196, Andrew       , Walker          ,1964
1197, Morgan       , Freeman         ,1937
1198, Brad         , Pitt            ,1963
1199, Darius       , Khondji         ,1956
1200, Richard      , Francis-Bruce   ,1948
1201, Kerry        , Barden          ,1951
1202, Danny        , Boyle           ,1956
1203, John         , Hodge           ,1964
1204, Kerry        , Fox             ,1966
1205, Christopher  , Eccleston       ,1964
1206, Ewan         , McGregor        ,1971
1207, Andrew       , Macdonald       ,1966
1208, Brian        , Tufano          ,1968
1209, Masahiro     , Hirakubo        ,1964
1210, Lawrence     , Kasdan          ,1949
1211, Adam         , Brooks          ,1956
1212, Meg          , Ryan            ,1961
1213, Kevin        , Kline           ,1947
1214, Timothy      , Hutton          ,1960
1215, Owen         , Roizman         ,1936
1216, Joe          , Hutshing        ,1947
1217, Timothy      , Balme           ,1964
1218, Diana        , Penalver        ,1967
1219, Elizabeth    , Moody           ,1957
1220, Murray       , Milne           ,1959
1221, Kevin        , Smith           ,1970
1222, Marilyn      , Ghigliotti      ,1971
1223, Lisa         , Spoonhauer      ,1968
1224, David        , Klein           ,1965
1225, Ron          , Howard          ,1954
1226, Jim          , Lovell          ,1928
1227, Tom          , Hanks           ,1956
1228, Bill         , Paxton          ,1955
1229, Kevin        , Bacon           ,1958
1230, Brian        , Grazer          ,1951
1231, Dean         , Cundey          ,1945
1232, Quentin      , Tarantino       ,1963
1233, Harvey       , Keitel          ,1939
1234, Tom          , Roth            ,1961
1235, Michael      , Madsen          ,1958
1236, Sally        , Menke           ,1962
1237, Ronnie       , Yeskel          ,1967
1238, John         , Travolta        ,1954
1239, Samuel       , Jackson         ,1948
1240, Lawrence     , Bender          ,1958
1241, Ang          , Lee             ,1954
1242, Sihung       , Lung            ,1968
1243, Yu-Wen       , Wang            ,1969
1244, Chien-lien   , Wu              ,1968
1245, Kong         , Hsu             ,1956
1246, Jong         , Lin             ,1969
1247, Tim          , Squyres         ,1962
1248, Robert       , Altman          ,1925
1249, Andie        , MacDowell       ,1958
1250, Bruce        , Davison         ,1946
1251, Jack         , Lemmon          ,1925
1252, Cary         , Brokaw          ,1951
1253, Geraldine    , Peroni          ,1954
1254, Edward       , Zwick           ,1952
1255, Jim          , Harrison        ,1937
1256, Anthony      , Hopkins         ,1937
1257, Aidan        , Quinn           ,1959
1258, John         , Toll            ,1962
1259, Steven       , Rosenblum       ,1963
1260, Mary         , Colquhoun       ,1939
1261, Oliver       , Stone           ,1946
1262, Woody        , Harrelson       ,1961
1263, Juliette     , Lewis           ,1973
1264, Robert       , Richardson      ,1964
1265, Brain        , Berdan          ,1958
1266, Richard      , Hornung         ,1950
1267, John         , Carpenter       ,1948
1268, Michael      , Luca            ,1951
1269, Sam          , Neil            ,1947
1270, Jurgen       , Prochnow        ,1941
1271, Julie        , Carmen          ,1960
1272, Gary         , Kibbe           ,1954
1273, Edward       , Warschilka      ,1949
1274, Robert       , Zemeckis        ,1952
1275, Winston      , Groom           ,1944
1276, Robin        , Wright          ,1966
1277, Gary         , Sinise          ,1955
1278, Wendy        , Finerman        ,1953
1279, Don          , Burgess         ,1957
1280, Ellen        , Lewis           ,1961
1281, Denzel       , Washington      ,1954
1282, Angela       , Bassett         ,1958
1283, Barry        , Brown           ,1952
1284, Kenneth      , Branagh         ,1960
1285, Scott        , Frank           ,1960
1286, Emma         , Thompson        ,1959
1287, Lindsay      , Doran           ,1948
1288, Matthew      , Leonetti        ,1952
1289, Peter        , Berger          ,1955
1290, Gail         , Levin           ,1960
1291, Steven       , Spielberg       ,1946
1292, Michael      , Crichton        ,1942
1293, Laura        , Dern            ,1967
1294, Jeff         , Goldblum        ,1952
1295, Kathleen     , Kennedy         ,1947
1296, Michael      , Kahn            ,1924
1297, Amy          , Heckerling      ,1954
1298, Alicia       , Silverston      ,1976
1299, Stacey       , Dash            ,1966
1300, Brittany     , Murphy          ,1977
1301, Scott        , Rudin           ,1958
1302, Bill         , Pope            ,1961
1303, Debra        , Chiate          ,1970
1304, Marcia       , Ross            ,1969
1305, Richard      , Attenborough    ,1923
1306, William      , Nicholson       ,1948
1307, Debra        , Winger          ,1955
1308, Roddy        , Maude-Roxby     ,1930
1309, Roger        , Pratt           ,1947
1310, Lesley       , Walker          ,1956
1311, Lucy         , Boulting        ,1967
1312, Isabelle     , Huppert         ,1955
1313, Elina        , Lowensohn       ,1966
1314, Steven       , Hamilton        ,1968
1315, Billy        , Hopkins         ,1965
1316, Alexandra    , Welker          ,1959
1317, Martin       , Scorsese        ,1942
1318, Robert       , Niro            ,1943
1319, Ray          , Liotta          ,1955
1320, Joe          , Pesci           ,1943
1321, Irwin        , Winkler         ,1931
1322, Michael      , Ballhaus        ,1935
1323, Thelma       , Schoonmaker     ,1940
1324, Gillian      , Armstrong       ,1950
1325, Lousia       , Alcott          ,1832
1326, Gabriel      , Byrne           ,1950
1327, Trini        , Alvarado        ,1967
1328, Denise       , DiNovi          ,1955
1329, Geoffrey     , Simpson         ,1961
1330, Nicholas     , Beauman         ,1965
1331, Jon          , Turteltaub      ,1964
1332, Daniel       , Sullivan        ,1939
1333, Sandra       , Bullock         ,1964
1334, Bill         , Pullman         ,1953
1335, Roger        , Birnbaum        ,1954
1336, Bruce        , Green           ,1952
1337, Cathy        , Sandrich        ,1961
1338, Anne         , Heche           ,1969
1339, Vince        , Vaughn          ,1970
1340, Viggo        , Mortensen       ,1958
1341, Julianne     , Moore           ,1960
1342, William      , Macy            ,1950
1343, Gus          , Van Sant        ,1952
1344, Joseph       , Stefano         ,1922
1345, Bernard      , Herrmann        ,1911
1346, Martin       , Balsam          ,1919
